code,families,non_families
03235,75087,41474
03237,96189,52201
03238,45741,17289
03240,88138,38511
03241,107499,56520
03242,107209,69553
03243,97684,52839
03244,87856,62379
03245,102771,46181
03246,89336,51328
03249,135172,52501
03251,80635,40501
03253,108903,60151
03254,130186,51807
03255,130157,91351
03256,82035,54482
03257,158123,67039
03258,107945,68731
03259,114068,68211
03260,136905,69520
03261,108458,79204
03262,81136,45813
03263,85841,37081
03264,84106,55609
03266,79126,45485
03268,125529,51866
03269,110579,63897
03273,99183,101312
03275,101984,52648
03276,76696,42393
03278,107817,55861
03279,75730,47592
03280,110666,46932
03281,118626,54095
03282,93687,64923
03284,83096,47899
03285,77038,54114
03287,124270,54965
03290,129072,67552
03291,129072,67552
03293,65083,160172
03301,106265,49066
03303,93510,50958
03304,144565,60703
03307,92374,52580
03431,98558,49586
03440,98021,44610
03441,38836,29224
03442,87653,54405
03443,92054,54405
03444,114709,59782
03445,94184,52856
03446,105897,52377
03447,95746,50467
03448,87787,47803
03449,131103,67162
03450,128545,55952
03451,76137,41157
03452,85894,61426
03455,98161,97455
03456,82057,49446
03457,105541,82525
03458,142933,66316
03461,101728,49265
03462,179694,102830
03464,103731,51199
03465,79159,70687
03466,115123,50761
03467,115120,66501
03470,68371,43285
03561,74573,39356
03570,69336,27476
03574,88968,37770
03575,88968,37770
03576,76667,38588
03579,89835,39849
03580,114454,76240
03581,97344,40911
03582,66466,31178
03583,79145,37417
03584,83045,36980
03585,87098,47004
03586,119618,61321
03588,71342,37547
03590,50800,52122
03592,74684,32744
03593,106313,75180
03595,84534,34420
03597,53176,26945
03598,73246,34026
03601,82308,43775
03602,81211,49438
03603,68737,33753
03604,114536,33753
03605,87589,48877
03607,90169,47079
03608,142314,68798
03609,118167,44841
03740,94487,31657
03741,89974,76749
03743,70930,40913
03745,110056,55250
03746,148215,32723
03748,117975,71503
03750,157085,177051
03751,77389,36303
03752,73561,49512
03753,110753,63279
03754,110753,63279
03755,245038,88283
03765,68525,45814
03766,106683,65202
03768,189018,88812
03770,98970,78461
03771,93169,45308
03773,82540,43881
03774,78238,45303
03777,118489,121659
03779,108259,61060
03780,97291,43756
03781,114279,98667
03782,105162,49877
03784,102449,47650
03785,72260,33462
03801,135434,77285
03809,96855,34283
03810,112017,48299
03811,150913,65508
03812,125088,30110
03813,74971,82946
03814,70651,33473
03816,80745,93746
03817,81647,10143
03818,70561,48140
03819,105673,60725
03820,106837,66776
03823,153771,74085
03824,156357,42270
03825,133287,53035
03826,105491,69639
03827,140633,60498
03830,90913,39696
03832,138572,51635
03833,149095,59297
03835,92297,45692
03836,87332,50717
03837,85858,46280
03838,76433,54592
03839,78674,49009
03840,144028,111297
03841,132893,70734
03842,135233,70128
03844,187743,143818
03845,69235,107467
03846,103101,88617
03847,103101,161188
03848,122216,69728
03849,110761,49297
03850,83798,19339
03851,91411,42449
03852,104504,42449
03853,81629,36086
03854,229093,179583
03855,105611,46948
03856,176335,128647
03857,107909,64178
03858,123537,60659
03860,80599,52186
03861,135711,67767
03862,167834,68599
03864,74620,38994
03865,105592,61400
03867,87296,50533
03868,84786,47345
03869,108237,54350
03870,216294,86980
03871,216294,86980
03872,90293,32795
03873,118641,76529
03874,88607,58098
03875,121893,59943
03878,83743,40379
03882,83652,53102
03883,64967,53102
03884,135284,51740
03885,169939,79833
03886,81833,33677
03887,97979,54896
03890,57678,54896
03894,104644,40403
03901,101479,61240
03902,172486,75788
03903,102945,48393
03904,108419,67559
03905,145568,61924
03906,93987,51877
03907,119741,57861
03908,111727,65936
03909,124620,84480
03910,100118,84480
03911,100118,84480
04001,75834,34178
04002,89409,45960
04003,95384,58649
04005,83228,47635
04006,83228,33735
04008,86507,36122
04009,65636,39796
04010,60770,43166
04011,103100,61138
04015,88122,43103
04017,149859,53811
04019,149859,53811
04020,107864,43404
04021,150680,75020
04022,79892,37250
04024,73449,34915
04027,79516,44528
04029,85558,49274
04030,91627,49319
04032,121182,100395
04037,66138,35488
04038,103327,60002
04039,89116,58575
04040,69695,32303
04041,68853,30739
04042,81306,54360
04043,135086,51012
04046,110797,43956
04047,75385,56748
04048,74421,33930
04049,80840,56289
04050,140172,33645
04051,80791,52664
04055,77997,56317
04056,58842,43518
04057,58842,43518
04061,84219,48600
04062,97943,52398
04063,98516,42244
04064,103161,62356
04066,106927,53293
04068,59433,39691
04069,103035,59082
04071,118047,55834
04072,93816,63600
04073,70813,36373
04074,133367,66236
04076,71972,46944
04079,133123,59583
04083,87515,43842
04084,98556,43206
04085,109830,35976
04086,93110,59621
04087,71668,37950
04088,81964,40325
04090,96648,67646
04091,71475,27333
04092,87681,45745
04093,95783,79543
04095,75569,42000
04096,161066,51291
04097,135899,62721
04101,77472,47834
04102,99728,55731
04103,105483,56239
04105,194023,102623
04106,99622,55351
04107,161939,66680
04108,131613,70419
04109,99509,70419
04110,281208,92561
04210,79554,40038
04216,58655,34429
04217,68964,35396
04219,81890,30253
04220,77438,38768
04221,67571,29878
04222,100966,55200
04224,55604,44726
04226,69715,33356
04227,28781,25989
04228,28781,25989
04231,61265,30408
04234,61265,30408
04236,94390,50882
04237,75907,71614
04238,75471,41293
04239,75733,35630
04240,71467,34620
04250,64361,38009
04252,81072,67219
04253,75395,58444
04254,56762,25079
04255,72388,43664
04256,80288,37274
04257,59794,41169
04258,90393,54707
04259,75341,41964
04260,87608,52201
04261,93997,39155
04263,76972,42929
04265,87156,53178
04267,66500,53178
04268,66012,31018
04270,67234,37383
04271,67234,37383
04274,79271,47756
04275,62003,27567
04276,58568,35148
04280,80143,56503
04281,66002,27564
04282,89128,49945
04284,94221,53614
04285,59873,57998
04286,59873,57998
04287,76927,37324
04289,58735,29900
04290,77909,36301
04292,67558,45673
04294,73318,31357
04330,73887,38477
04342,81043,41089
04343,81043,41089
04344,75642,38997
04345,80016,46345
04346,61849,49059
04347,101393,56689
04348,66983,43558
04349,88334,39956
04350,94975,59855
04351,108115,53839
04352,75287,47331
04353,72916,42763
04354,75922,111142
04355,100727,65362
04357,68380,36789
04358,79255,48049
04359,53599,63477
04360,79311,41497
04363,62721,50121
04364,89633,37384
04401,85854,40335
04406,69850,37483
04408,68408,63585
04410,60964,33450
04411,72816,47373
04412,86598,36530
04413,49478,40334
04414,57748,27073
04415,57556,31913
04416,66535,24643
04417,45821,23812
04418,63658,33453
04419,80657,43814
04421,88298,61898
04422,78846,38140
04424,44851,23020
04426,78274,26396
04427,67380,46725
04428,74302,39981
04429,87490,51261
04430,57614,34459
04431,57614,34459
04434,65766,49955
04435,64632,36205
04438,63707,35971
04441,72149,34975
04442,72149,34975
04443,52040,40790
04444,111697,53120
04448,57572,23443
04449,62539,41618
04450,66239,47500
04451,54937,23847
04453,56690,25920
04454,21677,25920
04455,63854,36272
04456,81359,47376
04457,66364,35802
04459,53909,31535
04460,58882,26975
04461,73069,36481
04462,63707,43484
04463,49193,23081
04464,57917,64562
04468,70469,38340
04469,70469,38340
04471,59813,32367
04472,77166,44562
04473,99101,40434
04474,86392,46393
04475,60913,27342
04476,83789,41598
04478,67507,21448
04479,61434,32919
04481,63721,34815
04485,86724,28195
04487,49012,24332
04488,83901,40388
04489,50963,40388
04490,60859,49311
04491,51078,30836
04492,47483,34271
04493,70442,43408
04495,48156,32003
04496,76307,39731
04497,54356,18721
04530,89782,50367
04535,91371,56151
04537,85259,50053
04538,86606,37376
04539,94143,58497
04541,94143,58497
04543,94488,43349
04544,121693,63429
04547,82639,35024
04548,99375,57146
04551,82322,57427
04553,131452,42784
04554,80685,37420
04555,79049,46088
04556,82172,59292
04558,123217,36971
04562,122982,50152
04563,72606,47399
04564,120615,57471
04568,123020,46084
04570,123020,46084
04571,96261,57779
04572,74770,27436
04573,107023,50594
04574,99669,51605
04575,191593,51605
04576,100475,44228
04578,75854,33901
04579,92792,56174
04605,86714,43075
04606,56612,27282
04607,132716,25675
04609,88787,37275
04611,83740,28633
04612,98161,34500
04613,110196,34500
04614,99300,43943
04616,92573,37095
04617,111688,67115
04619,92830,22905
04622,57002,34947
04623,56305,36791
04624,61137,41495
04625,152317,53466
04626,84690,33013
04627,82102,34944
04628,66220,28873
04629,66220,28873
04630,64002,38163
04631,86172,25989
04634,53776,36457
04635,53776,36457
04637,75762,27597
04640,79490,72521
04642,120337,32911
04643,59570,32816
04644,59570,32816
04645,46188,32816
04646,95942,29900
04648,58724,32021
04649,71245,25100
04650,286779,56759
04652,61089,37236
04653,57098,37622
04654,67088,28166
04655,74673,56261
04657,79986,37688
04658,72475,36570
04660,148477,83333
04662,87474,35830
04664,72017,51645
04666,58080,35524
04667,55038,40007
04668,50746,28600
04669,116449,12716
04671,111875,36493
04673,63672,22131
04674,85328,17795
04675,161260,219263
04676,86511,31600
04677,67358,47915
04679,87399,44571
04680,68804,30995
04681,64928,37056
04683,123723,86917
04684,110535,64813
04685,97823,36221
04686,64600,21620
04691,77047,37967
04693,74866,27855
04694,65782,46960
04730,68938,27937
04732,49642,32189
04733,70928,35660
04734,73428,26784
04735,75396,28674
04736,66430,36004
04739,66904,25024
04740,77677,29681
04741,77677,29681
04742,77139,34174
04743,68356,30043
04745,63146,29188
04746,53786,20149
04747,62329,23832
