zipcode,population_2,density
4928,1990,19.8
4929,757,14.4
4930,4186,26.8
4932,1210,12.9
4936,179,0.2
4937,6381,47.4
4938,9728,30.7
4939,809,8.3
4940,0,0
4941,1740,10.5
4942,1052,3.4
4943,1649,17.2
4944,60,13.4
4945,1188,0.7
4947,1559,4.8
4949,733,10.9
4950,4711,35.1
4951,1090,10.8
4952,1839,23.5
4953,3129,40.9
4955,1393,11.9
4956,745,8
4957,4109,20.7
4958,1988,14
4961,789,0.8
4963,7274,55
4964,140,0.6
4965,2226,21.4
4966,1629,2.6
4967,3916,31.4
4969,1164,15.1
4970,1510,2.6
4971,1863,16.1
4973,1350,13.8
4974,2650,35.7
4975,49,346.5
4976,10129,39.3
4978,934,18.1
4979,775,7.5
4981,2590,26.5
4982,487,4.3
4983,1454,3.7
4984,782,8.5
4985,104,0.2
4986,2209,15.7
4987,975,10.8
4988,2089,16.2
4989,4475,39
4992,191,845.9
5001,9332,84.3
5009,0,0
5030,256,189.1
5031,19,2.9
5032,2655,15
5033,2978,31.2
5034,186,20.4
5035,698,6.6
5036,1058,13.3
5037,986,29.7
5038,1451,12.8
5039,1019,9.7
5040,687,23.1
5041,216,14.9
5042,586,8.5
5043,1173,50
5045,1646,14.7
5046,1322,8.2
5048,2885,37.6
5050,113,131.3
5051,1217,14.7
5052,184,30.6
